Normalized time,Mean,Mean Western,Mean non-Western,Mean birdsong,Mean Essen,SE ,SE Western,SE non-Western,SE birdsong,SE Essen,SE high,SE high Western,SE high non-Western,SE high birdsong,SE high Essen,SE low,SE low Western,SE low non-Western,SE low birdsong,SE low Essen
-1,-0.849429122,-0.840264813,-0.860078152,0.1967,-0.6255,0.171492958,0.255255729,0.223243499,0.097,0.0301,-0.677936164,-0.585009084,-0.636834653,0.2937,-0.5954,-1.020922081,-1.095520542,-1.083321651,0.0997,-0.6556
-0.959183673,-0.17448032,-0.205212104,-0.138769643,0.2397,-0.617,0.1677256,0.242569509,0.228841139,0.0939,0.0301,-0.00675472,0.037357405,0.090071496,0.3336,-0.5869,-0.34220592,-0.447781613,-0.367610783,0.1458,-0.6471
-0.918367347,0.187567663,0.114456836,0.272523261,0.2749,-0.5708,0.165543381,0.240398288,0.224306664,0.0889,0.0298,0.353111045,0.354855125,0.496829925,0.3638,-0.541,0.022024282,-0.125941452,0.048216598,0.186,-0.6006
-0.87755102,0.36856465,0.316140591,0.429481992,0.3301,-0.4272,0.16115353,0.237124063,0.21386695,0.084,0.029,0.52971818,0.553264654,0.643348941,0.4141,-0.3982,0.20741112,0.079016528,0.215615042,0.2461,-0.4562
-0.836734694,0.585065522,0.647574826,0.512429012,0.3564,-0.1431,0.156740085,0.233780493,0.203156391,0.0808,0.0274,0.741805607,0.881355318,0.715585403,0.4372,-0.1157,0.428325437,0.413794333,0.309272621,0.2756,-0.1705
-0.795918367,0.734705473,0.887353215,0.55732709,0.3829,-0.0217,0.153268127,0.231346743,0.193603213,0.0744,0.0267,0.8879736,1.118699958,0.750930303,0.4573,0.005,0.581437345,0.656006472,0.363723878,0.3085,-0.0484
-0.755102041,0.904579978,1.116879079,0.65788605,0.3919,0.243,0.149246568,0.223413355,0.190647393,0.0703,0.0247,1.053826546,1.340292434,0.848533443,0.4622,0.2677,0.75533341,0.893465725,0.467238656,0.3216,0.2183
-0.714285714,0.999727469,1.251803166,0.706812692,0.4171,0.3426,0.142079528,0.215557651,0.175944712,0.0665,0.0239,1.141806996,1.467360817,0.882757404,0.4836,0.3665,0.857647941,1.036245516,0.53086798,0.3506,0.3187
-0.673469388,1.158633804,1.525850419,0.731923994,0.4199,0.4464,0.133384104,0.199553225,0.166426611,0.0627,0.0231,1.292017908,1.725403645,0.898350605,0.4826,0.4695,1.0252497,1.326297194,0.565497383,0.3572,0.4233
-0.632653061,1.149376575,1.551334697,0.682296746,0.4033,0.4814,0.130425216,0.191543746,0.167014923,0.0602,0.0229,1.279801791,1.742878443,0.849311668,0.4635,0.5043,1.018951359,1.359790951,0.515281823,0.3431,0.4585
-0.591836735,0.968049699,1.252103201,0.637976357,0.4096,0.5253,0.127264454,0.185065482,0.168860363,0.057,0.0226,1.095314153,1.437168683,0.80683672,0.4666,0.5479,0.840785245,1.067037718,0.469115994,0.3526,0.5027
-0.551020408,0.852748744,1.098623795,0.567039189,0.4015,0.5432,0.123176958,0.176810956,0.167441122,0.0535,0.0224,0.975925702,1.275434751,0.734480311,0.455,0.5656,0.729571787,0.921812839,0.399598067,0.348,0.5208
-0.510204082,0.854674605,1.129784857,0.534993419,0.3861,0.5941,0.120254291,0.179817957,0.151778668,0.0498,0.0217,0.974928896,1.309602814,0.686772087,0.4359,0.6158,0.734420314,0.9499669,0.383214751,0.3363,0.5724
-0.469387755,0.950962962,1.181293112,0.683316753,0.3707,0.6266,0.118816138,0.179907338,0.147311907,0.0472,0.0216,1.069779099,1.361200451,0.83062866,0.4179,0.6482,0.832146824,1.001385774,0.536004845,0.3235,0.605
-0.428571429,0.91277904,1.131810389,0.658262165,0.3457,0.6053,0.119306271,0.175065022,0.15697908,0.0445,0.0216,1.032085311,1.306875411,0.815241245,0.3902,0.6269,0.793472769,0.956745367,0.501283085,0.3012,0.5837
-0.387755102,0.983138847,1.147911647,0.791671013,0.3241,0.5913,0.121996072,0.185863545,0.15070697,0.0421,0.0215,1.105134919,1.333775192,0.942377983,0.3662,0.6128,0.861142775,0.962048102,0.640964042,0.282,0.5698
-0.346938776,0.839511427,0.972277645,0.685235597,0.3266,0.6273,0.122965035,0.194799822,0.139151013,0.0398,0.0213,0.962476462,1.167077467,0.82438661,0.3664,0.6486,0.716546391,0.777477824,0.546084584,0.2868,0.606
-0.306122449,0.815664209,0.90105724,0.716436553,0.3278,0.597,0.111258094,0.176009154,0.126762773,0.0375,0.0213,0.926922303,1.077066394,0.843199326,0.3653,0.6183,0.704406115,0.725048087,0.58967378,0.2903,0.5757
-0.265306122,0.839752268,0.925897357,0.739650711,0.3207,0.5468,0.11010716,0.176378891,0.121228778,0.035,0.0212,0.949859428,1.102276248,0.860879489,0.3557,0.568,0.729645108,0.749518466,0.618421933,0.2857,0.5256
-0.224489796,0.812507219,0.888028913,0.724750167,0.2977,0.5437,0.109170741,0.171801481,0.126141413,0.0339,0.0212,0.92167796,1.059830394,0.85089158,0.3316,0.5649,0.703336478,0.716227433,0.598608755,0.2638,0.5225
-0.183673469,0.673460341,0.719599286,0.619846371,0.2694,0.4953,0.109941584,0.172617946,0.12796087,0.0317,0.0213,0.783401925,0.892217232,0.747807241,0.3011,0.5166,0.563518757,0.54698134,0.491885501,0.2377,0.474
-0.142857143,0.657637067,0.752713728,0.547156925,0.261,0.4369,0.115341879,0.171929652,0.149334577,0.0314,0.0216,0.772978947,0.92464338,0.696491502,0.2924,0.4585,0.542295188,0.580784076,0.397822347,0.2296,0.4153
-0.102040816,0.74390858,0.823593556,0.651313749,0.2337,0.4059,0.108331987,0.166748467,0.131753317,0.0306,0.0218,0.852240567,0.990342023,0.783067066,0.2643,0.4277,0.635576594,0.656845089,0.519560432,0.2031,0.3841
-0.06122449,0.596232634,0.674838438,0.504891811,0.2238,0.3925,0.105693846,0.169237711,0.116550187,0.0312,0.0218,0.70192648,0.844076149,0.621441998,0.255,0.4143,0.490538788,0.505600727,0.388341625,0.1926,0.3707
-0.020408163,0.43122913,0.489392772,0.363642328,0.2175,0.3813,0.10542368,0.165774032,0.122163987,0.0314,0.0218,0.53665281,0.655166804,0.485806315,0.2489,0.4031,0.32580545,0.323618739,0.241478342,0.1861,0.3595
0.020408163,0.254495134,0.272472356,0.233605402,0.1522,0.4061,0.102421748,0.157165835,0.125692276,0.0307,0.0218,0.356916883,0.429638191,0.359297678,0.1829,0.4279,0.152073386,0.115306521,0.107913126,0.1215,0.3843
